"state_code","district_code","social_group_code","class_category_code","crop_code","crop_noh","irrigated_area","unirrigated_area","total_area"
28,532,1,1,101,16103,4445.75,2154.65,6600.4
28,532,1,1,102,2767,0,1250.47,1250.47
28,532,1,1,103,54,1.85,24.03,25.88
28,532,1,1,104,5532,275.24,1503.76,1779
28,532,1,1,105,9,0,5.86,5.86
28,532,1,1,106,4,0,1.29,1.29
28,532,1,1,108,2,0,1.94,1.94
28,532,1,1,188,7,0,2.04,2.04
28,532,1,1,201,383,0,157.91,157.91
28,532,1,1,202,5521,3.99,1644.83,1648.82
28,532,1,1,203,1355,0.52,345.75,346.27
28,532,1,1,204,1477,0,449.94,449.94
28,532,1,1,206,102,0,42.56,42.56
28,532,1,1,207,0,0,0,0
28,532,1,1,208,5,0,1.25,1.25
28,532,1,1,288,18,0,5.44,5.44
28,532,1,1,399,31600,4727.35,7591.72,12319.07
28,532,1,1,401,0,0,0,0
28,532,1,1,402,0,0,0,0
28,532,1,1,502,366,115.23,34.39,149.62
28,532,1,1,503,0,0,0,0
28,532,1,1,504,368,141.36,0,141.36
28,532,1,1,507,0,0,0,0
28,532,1,1,509,10,0,8.33,8.33
28,532,1,1,520,0,0,0,0
28,532,1,1,588,14,5.69,2.97,8.66
28,532,1,1,601,326,22.47,117.51,139.98
28,532,1,1,603,0,0,0,0
28,532,1,1,604,2,0,0.41,0.41
28,532,1,1,616,0,0,0,0
28,532,1,1,632,0,0,0,0
28,532,1,1,688,0,0,0,0
28,532,1,1,701,0,0,0,0
28,532,1,1,702,0,0,0,0
28,532,1,1,703,6,0,4.97,4.97
28,532,1,1,708,0,0,0,0
28,532,1,1,713,33,1.97,13.84,15.81
28,532,1,1,716,0,0,0,0
28,532,1,1,717,4,0,0.14,0.14
28,532,1,1,718,9,1.47,0.65,2.12
28,532,1,1,720,8,0,1.24,1.24
28,532,1,1,721,0,0,0,0
28,532,1,1,723,0,0,0,0
28,532,1,1,728,20,0,1.6,1.6
28,532,1,1,730,31,0,9.43,9.43
28,532,1,1,788,64,11.15,3.51,14.66
28,532,1,1,1001,56,0,29.33,29.33
28,532,1,1,1002,0,0,0,0
28,532,1,1,1003,277,0,135.93,135.93
28,532,1,1,1004,5,0,1.25,1.25
28,532,1,1,1005,6,0,1.5,1.5
28,532,1,1,1006,0,0,0,0
28,532,1,1,1007,83,0,48.72,48.72
28,532,1,1,1008,0,0,0,0
28,532,1,1,1009,1272,4.04,712.85,716.89
28,532,1,1,1010,0,0,0,0
28,532,1,1,1011,0,0,0,0
28,532,1,1,1088,0,0,0,0
28,532,1,1,1101,6854,44.35,3698.13,3742.48
28,532,1,1,1103,0,0,0,0
28,532,1,1,1104,14,0,6.06,6.06
28,532,1,1,1188,2,0,1.5,1.5
28,532,1,1,1605,0,0,0,0
28,532,1,1,1688,0,0,0,0
28,532,1,1,1705,0,0,0,0
28,532,1,2,101,4526,2900.61,2138.58,5039.19
28,532,1,2,102,2758,0.79,2339.65,2340.44
28,532,1,2,103,49,0,68.37,68.37
28,532,1,2,104,2011,317.16,1061.92,1379.08
28,532,1,2,105,0,0,0,0
28,532,1,2,106,6,0,2.67,2.67
28,532,1,2,108,0,0,0,0
28,532,1,2,188,0,0,0,0
28,532,1,2,201,172,0,178.65,178.65
28,532,1,2,202,4375,32.49,2510.15,2542.64
28,532,1,2,203,799,0,409.88,409.88
28,532,1,2,204,958,1.06,531.45,532.51
28,532,1,2,206,103,0,122.73,122.73
28,532,1,2,207,0,0,0,0
28,532,1,2,208,0,0,0,0
28,532,1,2,288,8,0,3.37,3.37
28,532,1,2,399,12218,3252.11,9367.42,12619.53
28,532,1,2,401,4,4.68,0,4.68
28,532,1,2,402,0,0,0,0
28,532,1,2,502,157,59.32,44.84,104.16
28,532,1,2,503,0,0,0,0
28,532,1,2,504,392,168.18,0.81,168.99
28,532,1,2,507,0,0,0,0
28,532,1,2,509,0,0,0,0
28,532,1,2,520,0,0,0,0
28,532,1,2,588,0,0,0,0
28,532,1,2,601,171,34.92,154.45,189.37
28,532,1,2,603,0,0,0,0
28,532,1,2,604,0,0,0,0
28,532,1,2,616,9,0,8.76,8.76
28,532,1,2,632,0,0,0,0
28,532,1,2,688,7,0,9.57,9.57
28,532,1,2,701,0,0,0,0
28,532,1,2,702,0,0,0,0
28,532,1,2,703,0,0,0,0
28,532,1,2,708,0,0,0,0
28,532,1,2,713,45,12.27,18.69,30.96
28,532,1,2,716,0,0,0,0
28,532,1,2,717,0,0,0,0
28,532,1,2,718,25,15.06,15.41,30.47
28,532,1,2,720,23,0,10.92,10.92
28,532,1,2,721,0,0,0,0
28,532,1,2,723,0,0,0,0
28,532,1,2,728,14,0,1.98,1.98
28,532,1,2,730,13,0,2.79,2.79
28,532,1,2,788,17,1.53,6.13,7.66
28,532,1,2,1001,30,10.23,23.78,34.01
28,532,1,2,1002,7,0,4.1,4.1
28,532,1,2,1003,277,0,195.63,195.63
28,532,1,2,1004,0,0,0,0
28,532,1,2,1005,70,0,85.7,85.7
28,532,1,2,1006,3,0,1.12,1.12
28,532,1,2,1007,67,5.23,66.95,72.18
28,532,1,2,1008,0,0,0,0
28,532,1,2,1009,1416,0,1461.28,1461.28
28,532,1,2,1010,0,0,0,0
28,532,1,2,1011,0,0,0,0
28,532,1,2,1088,3,0,0.53,0.53
28,532,1,2,1101,5730,113.73,6055.18,6168.91
28,532,1,2,1103,0,0,0,0
28,532,1,2,1104,0,0,0,0
28,532,1,2,1188,0,0,0,0
28,532,1,2,1605,0,0,0,0
28,532,1,2,1688,0,0,0,0
28,532,1,2,1705,0,0,0,0
28,532,1,3,101,2697,2645.85,1649.26,4295.11
28,532,1,3,102,2280,0.29,2344.77,2345.06
28,532,1,3,103,0,0,0,0
28,532,1,3,104,1132,177.48,892.66,1070.14
28,532,1,3,105,3,0,8.47,8.47
28,532,1,3,106,17,0,13.54,13.54
28,532,1,3,108,0,0,0,0
28,532,1,3,188,0,0,0,0
28,532,1,3,201,113,0,169.77,169.77
28,532,1,3,202,3878,5,2989.9,2994.9
28,532,1,3,203,513,0,403.89,403.89
28,532,1,3,204,1024,0,489.97,489.97
28,532,1,3,206,119,0,231.47,231.47
28,532,1,3,207,2,0,1.78,1.78
28,532,1,3,208,0,0,0,0
28,532,1,3,288,15,0,2.19,2.19
28,532,1,3,399,7981,2828.62,9197.67,12026.29
28,532,1,3,401,0,0,0,0
28,532,1,3,402,2,0,2.62,2.62
28,532,1,3,502,191,85.23,35.42,120.65
28,532,1,3,503,0,0,0,0
28,532,1,3,504,182,106.62,4.61,111.23
